entire lamina septum pellucidum	gehele lamina septi pellucidi
electric operated typewriter	elektrische typemachine
fine needle aspiration biopsy of neck using ultrasound guidance	fijnenaaldbiopsie van hals en/of nek onder echoscopische begeleiding
prophylactic treatment of clavicle with methyl methacrylate	preventieve behandeling van clavicula met methylmethacrylaat
nasal hump	'hump' op neus
fluphenazine decanoate	flufenazinedecanoaat
colitis cystica profunda	colitis cystica profunda
5q minus syndrome	MDS 5q-syndroom
columnaris disease	infectieziekte door Cytophaga columnaris
infection caused by Panton-Valentine leukocidin producing Staphylococcus aureus	infectie veroorzaakt door Panton-Valentine leukocidine producerende Staphylococcus aureus
malignant tumour involving right fallopian tube by separate metastasis from ovary	maligne neoplasma met betrokkenheid van rechter eileider door separate metastasering vanuit ovarium
contact lens addition power	contactlens toevoeging vermogen
mesial-incisal-distal-lingual	mesioincisodistolinguale vlakken van tand
greater tuberosity of humerus	tuberositas major van de humerus
entire transverse folds of palate	geheel van rugae palatinae
rhodococcus marinonascens	Rhodococcus marinonascens
amputation	amputatie
sarcoma of fibula	sarcoom van kuitbeen
von Willebrand disease type IC	ziekte van von Willebrand type IC
chromatography laboratory refrigerator	laboratoriumkoelkast voor chromatografie
spastic monoplegia of lower limb	spastische monoplegie van de onderste ledematen
entire tendon of lumbrical muscle of hand	gehele pees van musculus lumbricalis manus
plasma free thyroxine level	bepalen van vrij thyroxine in plasma
aero-otitis media	barotrauma van auris media
contact isolation	contactisolatie
bone of pelvis	bot van bekken
tc99m granulocyte (phagocytosis) study	isotopenonderzoek met ^99m^Tc-granulocyten voor fagocytose
laceration of male perineum	laceratie van perineum van man
synthetic cannabinoid intoxication	intoxicatie door synthetisch cannabinoïd
open biopsy of bile duct	open biopsie van galafvoergang
product containing only thalidomide in oral dose form	product dat enkel thalidomide in orale vorm bevat
tepidibacter thalassicus	Tepidibacter thalassicus
superior vena cava	bovenste holle ader
entire tenth anterior intercostal vein	gehele tiende anterieure intercostale ader
lateral articular facet of patella	laterale facies articularis patellae
surgical stapler handpiece housing	behuizing voor handvat van chirurgisch nietapparaat
angiotensin converting enzyme inhibitor prophylaxis	profylactisch behandelen met 'angiotensin converting enzyme'-remmer
skin of part of finger	huid van deel van digitus manus
injury of lateral cutaneous nerve of thigh	letsel van nervus cutaneus femoris lateralis
cerebral gnathostomiasis	cerebrale infectie door Gnathostoma
geobacillus toebii	Geobacillus toebii
skin: type 3 delayed reaction	huid: type 3 vertraagde reactie
isotope static scan lung	statisch isotopenonderzoek van long
abnormally low	abnormaal laag
perianal infection	infectie van regio perianalis
piedro shoes	Piedro-schoenen
lymphatic tumor invasion status	lymfatische tumorinvasiestatus
metastatic malignant neoplasm to appendix	metastase appendix
carcinoma in situ of skin of face	carcinoma in situ van huid van gelaat
typhoid booster vaccination	herhalingsinenting met buiktyfusvaccin
haemoglobin Bart's hydrops syndrome	en ernstige hypochrome bloedarmoede. Hb Bart's hydrops foetalis is de meest ernstige vorm van alfa-thalassemie (zie deze term) en is bijna altijd dodelijk. De aandoening wordt gekenmerkt door een foetaal begin van gegeneraliseerd oedeem, pleurale en pericardiale effusies
bronchomalacia	bronchomalacie
structure of superficial dorsal veins of clitoris	structuur van vena dorsalis superficialis clitoridis
primary squamous cell carcinoma of intrathoracic organ	plaveiselcelcarcinoom van intrathoracaal orgaan
methanobrevibacter arboriphilus	Methanobrevibacter arboriphilus
laser destruction of vulval wart	destructie met laser van wrat van vulva
germ cell tumour of the brain	kiemceltumor van hersenen
EPP	EPP
product containing dopamine in parenteral dosage form	product dat dopamine in parenterale vorm bevat
congenital abnormal shape of talus	congenitale afwijkende vorm van sprongbeen
meningococcal infection	meningokokkeninfectie
thalassemia-hemoglobin C disease	thalassemie-HbC-ziekte
acute anterior uveitis	acute anterieure uveïtis
congenital anomaly of sacral vertebra	gebrekkige ontwikkeling van heiligbeenwervel
family Prunellidae	familia Prunellidae
entire subcutaneous tissue of jaw	geheel onderhuids vet- en bindweefsel van kaak
progressive spinal ataxia	progressieve spinale ataxie
repair of pulmonary heart valve with prosthesis in total repair of tetralogy of Fallot	operatief herstel van valva pulmonalis met prothese bij totaal operatief herstel van tetralogie van Fallot
tabes dorsalis	tabes dorsalis
total thyroxine measurement	bepalen van totaal thyroxine
diphyllobothrium pacificum	Adenocephalus septentrionalis
removal of drip needle	verwijderen van infuusnaald
salmonella II 3,10,15:g,m,s,t:-	Salmonella II 3,10,15:g,m,s,t:-
patient Health Questionnaire Nine Item score	Patiëntengezondheidsvragenlijst Negen puntentotaalscore
saturday	zaterdag
insertion of tissue mandril of artery of extremity	implantatie van mandrijn in arterie van extremiteit voor kweken van transplantaat
bony swelling of the foot joint	benige zwelling van gewricht van voet
history of pneumococcal infection	voorgeschiedenis met infectieziekte door pneumokokken
lack of physical exercise	gebrek aan lichaamsbeweging
entire main lactiferous duct	gehele lobaire melkgang
drainage of pelvis using fluoroscopic guidance	drainage van bekken onder röntgendoorlichting
sympathetic dependent pain	pijn afhankelijk van sympathische zenuwstelsel
grafting of fascia to tarsal cartilage	transplanteren van spierkapsel naar tarsus
entire ligament of shoulder and elbow	geheel ligament van schouder en elleboog
ethmoid curette	curette voor etmoïd
tetrahydrofolate methyltransferase deficiency	tetrahydrofolaat methyltransferase deficiëntie
eimeria numidae	Eimeria numidae
acetylcholine chloride	acetylcholinechloride
chondrocalcinosis of left shoulder	calcificatie van kraakbeen van linker glenohumeraal gewricht
coronary ligament	ligamentum coronarium hepatis
vitamin E supplement therapy	suppletie van vitamine E
anterior wall of duodenal bulb	structuur van voorwand van bulbus duodeni
chronic cholecystitis due to cholelithiasis co-occurrent with choledocholithiasis	chronische cholecystitis door cholelithiase gelijktijdig met choledocholithiase
revision of corrective procedure on heart	revisie van correctieve hartoperatie
salmonella II 28:m,t:(e,n,x)	Salmonella II 28:m,t:(e,n,x)
myringoplasty using biological graft	myringoplastiek met biologische graft
structure of middle temporal gyrus	structuur van gyrus temporalis medius
skin of nasolabial fold	huid van nasolabiale plooi
increased range of elbow movement	vergrote bewegingsuitslag van elleboog
pantoea agglomerans pv. milletiae	Pantoea agglomerans pathovar milletiae
entire cusp of Carabelli	geheel tuberculum van Carabelli
structure of thyrohyoid ligament	structuur van ligamentum thyrohyoideum
muscle hypotonia	hypotonie van spier
neoplasm of uncertain behaviour of vagina	neoplasma met onzeker gedrag van vagina
entire neck of humerus	gehele hals van opperarmbeen
left lower lobe anterior segmental bronchus	anterior segmentbronchus van linkeronderkwab
mixed hearing loss	gemengd gehoorverlies
traumatic hyphaema	traumatische bloeding in VOK
primary liposarcoma of peritoneum	liposarcoom van peritoneum
congenital abnormality of ventricles and ventricular septum	congenitale afwijking van ventrikels en ventrikelseptum
entire lymphatic vessel of thymus and mediastinum	gehele lymfevat van thymus en mediastinum
open drainage of liver	open drainage van lever
entire tendon of plantar interosseus	gehele pees van plantaire interossale spier
long-term current use of lenalidomide	langdurige huidige behandeling met lenalidomide
bone structure of carpus of right wrist	botstructuur van rechter handwortelbeentje
subcutaneous tissue of pinna	onderhuids vet- en bindweefsel van oorschelp
delayed closure of abdominal wall	uitgesteld sluiten van buikwand
fracture of one rib	fractuur van één rib
tubular breast	tubulaire mammae
does care for pet	zorgt wel voor huisdier
tenotomy of inferior oblique muscle of eye	tenotomie van pees van musculus obliquus inferior bulbi
sarcoma of mesentery	sarcoma van mesenterium
skin of point of chin	structuur van huid van punt van kin
product containing hydrocortisone and miconazole in cutaneous dose form	product dat hydrocortison en miconazol in cutane vorm bevat
structure of parietal branch of anterior cerebral artery	structuur van ramus parietalis arteriae cerebri anterioris
bilateral segmental tubal excision and ligation by endoscopy	endoscopische bilaterale segmentale excisie en ligatie van tuba Fallopii
refetoff syndrome	syndroom van Refetoff
skin structure of toe	structuur van huid van teen
congenital stenosis	congenitale stenose
structure of pharyngeal portion of dorsum of tongue	structuur van faryngeaal gedeelte van dorsum linguae
insecticide	insecticide
cryotherapy to stellate ganglion	cryotherapie van ganglion cervicothoracicum
nail wound of lower limb	verwonding van onderste extremiteit door spijker
physical and emotional exhaustion state	toestand van fysieke en emotionele uitputting
asymptomatic bacteriuria in pregnancy - delivered	asymptomatische bacteriurie tijdens zwangerschap - bevallen
and counselling transportation teaching, guidance	begeleiden en counselen betreffende vervoer voorlichten
base of proximal phalanx of little finger	structuur van basis van proximale falanx van digitus V van hand
arthrotomy with drainage of glenohumeral joint	artrotomie met drainage van articulatio glenohumeralis
entire surface of labium pudendum	geheel oppervlak van schaamlip
burn of fallopian tube	verbranding van eileider
entire accessory ligament of shoulder joint	geheel accessoir ligament van articulatio glenohumeralis
blepharitis of left upper eyelid	blefaritis van linker palpebra superior
CT of abdomen with contrast for radiotherapy planning	CT-scan van abdomen met contrast ter voorbereiding op radiotherapie
bioelectric or cineplastic insertion of prosthesis or prosthetic device of extremity	insertie van bio-elektrische of lichaamsbekrachtigde prothese in ledemaat
carotid triangle	fossa carotica
excision of exostosis of facial bone	resectie van exostose van bot van aangezicht
lateral tracheostomy	laterale tracheostomie
entire perineal artery	gehele arteria perinealis
second degree burn of lip	tweedegraads brandwond van labium oris
induced termination of pregnancy complicated by pulmonary embolism	abortus provocatus gecompliceerd door longembolie
aortic narrowing of oesophagus	anatomische vernauwing van slokdarm ter hoogte van grote lichaamsslagader
thoracic sympathetic trunk	thoracale sympathische zenuwen
neoplasm of uncertain behaviour of bone and articular cartilage	neoplasma van bot en gewrichtskraakbeen met onzeker maligne potentieel
achromobacter marplatensis	Achromobacter marplatensis
entire thoracic spinal cord central canal	gehele pars thoracalis van canalis centralis
serum fasting glucose measurement	bepalen van nuchter serumglucose
nectarinia venusta	Nectarinia venusta
infection caused by Aspergillus terricola	infectieziekte door Aspergillus terricola
structure of roof of right acetabulum	structuur van het dak van het rechtse acetabulum
intervertebral space	spatium intervertebralis
glioblastoma multiforme	glioblastoom
visually significant corneal scar	litteken van cornea met significante beperking van gezichtsvermogen
diffuse alveolar hemorrhage	diffuse bloeding van longblaasje
structure of deep cervical lymphatic vessel	structuur van diep cervicaal lymfevat
