gastric aspirate present	ventrikelaspirat påvist
roux-en-Y gastrojejunostomy	Roux-en-Y-gastrojejunostomi
blow with elbow	slag med albue
niacin 750 mg and lovastatin 20 mg oral tablet	niacin 750 mg + lovastatin 20 mg tablet
pT3 stage	pT3-stadium
sudden acquired retinal degeneration	Pludseligt erhvervet retinal degeneration
mixed cryoimmunoglobulinaemia with monoclonal component	blandet kryoimmunglobulinæmi med monoklonal komponent
structure of nasopharyngeal surface of soft palate	struktur af den bløde ganes nasofaryngale overflade
solochrome cyanine R stain method	farvningsmetode med solochrom cyanin R
impaired tissue repair	nedsat vævsheling
overlapping lesion of digestive system malignant neoplasm	morfologisk forandring i fordøjelsessystemet overgribende flere områder malignt neoplasme
entire posterior division of renal artery	posterior forgrening som helhed af arteria renalis
thin lips	Tynde læber
hungarian language	ungarsk
excision of flexor tendon of finger and implantation of synthetic rod	excision af fleksorsene på anden finger end tommelfinger og implantation af syntetisk stav
nitrogen washout	nitrogenudvaskning
clear cell meningioma	clear cell-meningeom
test temperature	Testtemperatur
cholecystotomy and exploration	Kolecystotomi og eksploration
salmonella elokate	Salmonella elokate
open wound of cheek with complication	Åbent sår i kind med komplikation
atrioventricular septal defect: atrial and ventricular components	Atrioventrikulær septumdefekt: atriale og ventrikulære komponenter
benign neoplasm of the mesentery	Benignt neoplasme i mesenteriet
entire middle cervical ganglion	ganglion cervicale medium som helhed
fiberoptic esophagoscopy and banding of esophageal varices	Fiberoptisk øsofagoskopi og banding af øsofagosvaricer
CVD 103-HgR live attenuated oral cholera vaccine	CVD 103-HgR levende attenueret koleravaccine til oral anvendelse
urinating in public	Urinerer offentligt
removal of glass from skin	fjernelse af glasskår fra hud
cervix tender	cervix øm
family Flabellulidae	familien Flabellulidae
salmonella heerlen	Salmonella Heerlen
dicephalus parasiticus	Dicephalus parasiticus
parity	Paritet
child head circumference 92nd - 97th centile	Omkreds af barnehoved 92.-97. percentil
open osteoclasis and external fixation NEC	ikke klassificeret andetsteds Åben tilsigtet frakturering og ekstern fiksering
on examination - initial high blood pressure	objektivt: initialt højt blodtryk
chronic sorrow	kronisk sorg
acquired hallux malleus	erhvervet hallux malleus
prostate feature	træk vedr. prostata
diathermy of lesion of female perineum	diatermi af morfologisk forandring i kvindeligt perineum
x-linked recessive ichthyosis	X-bundet recessiv iktyose
on examination - parotid swelling	objektivt: hævelse af glandula parotis
neonatal sucking blisters	Neonatal sutteblære
human leukocyte antigen DRB1 genotype determination	bestemmelse af genotype af humant leukocytantigen DRB1
tissue specimen from transplanted kidney	vævsprøve fra transplanteret nyre
balloon dilatation of pyloric stricture	Ballonudvidelse af pylorusstriktur
employment retraining	beskæftigelsesmæssig genoptræning
bacillus soli	Bacillus soli
british ability scales - revised	British ability scales - revised
entire pedicle of second lumbar vertebra	buerod som helhed på 2. lændehvirvel
structure of base of patella	Struktur af patellas basis
pupil irregular	Uregelmæssig pupil
gram-variable coccobacillus	gramvariabel kokkobacille
respiratory obstruction due to food lodged in oesophagus	der har sat sig fast i esophagus luftvejsobstruktion forårsaget af føde
primary systemic vasculitis	Primær systemisk vaskulit
entire superior margin of adrenal gland	margo superior som helhed på binyre
nabumetone 500mg dispersible tablet	nabumeton dispergibel tablet a 500 mg
psyllium and derivatives	psyllium og derivater
chemical-induced pulmonary edema	Kemisk fremkaldt lungeødem
toxic multinodular goiter with thyrotoxic crisis	toksisk multinodulær struma med tyrotoksisk krise
order Lecanicephalidea	ordenen Lecanicephalidea
toxicodermatosis	toksikodermatose
entire deep transverse metatarsal ligament	dybt transverselt metatarsalligament som helhed
topical form unoprostone isopropyl	unoprostonisopropyl til topikal anvendelse
recommendation - action	anbefaling - handling
quantitative measurement of IgG in urine specimen	kvantitativ måling af IgG i urinprøve
fusion - action	fusion  handling
serotype I chlamydia trachomatis	serotype I Chlamydia trachomatis
instrumental amusia	Instrumentel amusi
epididymis tender	øm epididymis
diagnostic radiography of orbits	diagnostisk radiografi af orbitae
lactation tetany	Laktationstetani
aeromicrobium species	Aeromicrobium-art
exposure to ionising radiation from medical sources	udsættelse for ioniserende stråling fra medicinske kilder
diclofenac adverse reaction	bivirkning af diclofenac
excision of nipple and areola	excision af brystvorte og areola mammae
medication set-up surveillance	overvågning af medicineringsplan
dressing of pressure ulcer	Forbinding af tryksår
incision and drainage of deep haematoma of thigh region	Incision og drænage af dybt hæmatom i lårområdet
oxalis	Oxalis
guanylate cyclase	Guanylatcyklase
weissella halotolerans	Weissella halotolerans
chemical esophagitis	kemisk øsofagit
perinatal jaundice due to foetal OR neonatal hepatitis	perinatal icterus forårsaget af føtal ELLER neonatal hepatit
level of C2/C3 intervertebral disc	intervertebralt C2/C3-discus-niveau
poisoning by CNS drugs	Forgiftning med CNS-lægemidler
lip competence	Læbefunktion
drug induced autoimmune haemolytic anaemia	medikamentelt fremkaldt autoimmun hæmolytisk anæmi
poisoning by crack cocaine of undetermined intent	uvist med hvilken hensigt forgiftning med crack-cocain
contracture of other intrinsic muscle(s) of hand	kontraktur af anden/-dre intrinsik/-ke muskel/-ler i hånd
cleft lip and alveolus	Spaltning af læbe og alveole
paracentesis of anterior chamber of eye with diagnostic aspiration of aqueous	paracentese i forreste øjenkammer med diagnostisk aspiration af kammervæske
aortic valvotomy	Aortavalvotomi
medically fit for discharge	fra et lægeligt synspunkt klar til udskrivelse
nuclear medicine imaging procedure	Nuklearmedicinsk billedfremstillingsprocedure
melanin pigmentation of cornea	Melaninpigmentering af cornea
inner ear fenestration	fenestrering af indre øre
feces color normal	normal afføringsfarve
villonodular synovitis of interphalangeal joint of toe	villonodulær synovit i interfalangealt tåled
surgical procedure on primary malignant neoplasm of breast	kirurgisk indgreb på primært malignt neoplasme i mamma
intravesical instillation of therapeutic agent for benign disease	intravesikal instillation af terapeutisk middel i forbindelse med benign sygdom
echinococcus antibody	antistof mod Echinococcus-art
quantitative measurement of creatinine in peritoneal fluid specimen	kvantitativ måling af creatinin i prøve af peritonealvæske
arthropathy associated with mycoses	ikke nærmere specificeret Artropati associeret med mykose
erb-Duchenne palsy as birth trauma	Erb-Duchennes lammelse som følge af fødselstraume
swelling of buttock	hævelse af balde
does not participate in sporting activities	Deltager ikke i sportsaktiviteter
mitotic alteration	Mitotisk ændring
selenium supplement	Selentilskud
legal abortion with blood-clot embolism	legal abort med blodpropemboli
complex regional pain syndrome	Komplekst regionalt smertesyndrom
infectious enteritis	Infektiøs enterit
codeine phosphate + promethazine hydrochloride	codeinphosphat + promethazinhydrochlorid
congenital hypoplasia of palatine bone	Kongenit hypoplasi af os palatinum
partial omentectomy	Partiel omentektomi
referral to pediatric cochlear implant service	henvisning til børneafdeling for cochleaimplantation
biopsy using mesh-covered balloon	Biopsi ved brug af ballon med net
methysergide 1 mg oral tablet	methysergid tablet a 1 mg
entire mental nerve	nervus mentalis som helhed
serotype O20 escherichia coli	serotype O20 Escherichia coli
contact dermatitis due to hot weather	Irritativ kontaktdermatit forårsaget af varmt vejr
cutaneous hyperalgesia	Kutan hyperalgesi
abdominal reflex	Abdominalrefleks
axillary lymph node level	aksillymfeknudeniveau
salmonella goverdhan	Salmonella Goverdhan
unable to swim	ude af stand til at svømme
dentin bridge	Dentinbro
dexbrompheniramine	dexbrompheniramin
synovectomy of shoulder	synovektomi af skulder
renal surface of adrenal gland	binyres renale overflade
strangulation	strangulering
on examination - apex beat displaced - right ventricle hypertrophy	objektivt: hjertespidsstød forskudt  højresidig ventrikelhypertrofi
female pattern alopecia	androgen alopeci hos kvinde
discharge by transplant surgeon	udskrivelse foretaget af transplantationskirurg
primary microdiscectomy of cervical intervertebral disc	primær mikrodiskektomi af cervikal intervertebral discus
lateral surface of middle finger	laterale overflade på langfinger
case management	sagsbehandling
structure of nucleus pulposus of intervertebral disc of fifth lumbar vertebra	struktur af nucleus pulposus i 5. lændehvirvels intervertebrale discus
penile injection to produce erection	injektion i penis mhp. frembringelse af erektion
roller skate	rulleskøjte
measurement of chloride in stool specimen	måling af chlorid i fæcesprøve
neoplasm of soft tissues of perineum	neoplasme i bløddele i perineum
on examination - right eye visual acuity (corrected) 2/60	objektivt: synsstyrke på højre øje (korrigeret) 2/60
entire sacral nerve lateral branches	sakralnerves laterale forgreninger som helhed
mmol	mmol
moderate risk of self neglect	moderat risiko for manglende egenomsorg
distal-occlusal-buccal-palatal	distal-okklusal-bukkal-palatinal tandoverflade
haida language	haida
teletherapy consultation in computer dosimetry and isodose chart	ekstern strålebehandling konsultation vedrørende computerdosimetri- og isodosisdiagram
salmonella kimberley	Salmonella Kimberley
hours/week	timer/uge
on examination - posturing	objektivt: stillingsindtagelse
type 4 dengue virus	type 4 denguevirus
infection of metacarpal	Infektion i metakarpalknogle
embryo transfer	oplægning af embryon
entire digestive organ	fordøjelsesorgan som helhed
believes phones are bugged	tror telefoner aflyttes
obesity monitoring call	indkaldelse til monitorering af adipositas
overdose of therapeutic gases	overdosis af terapeutiske gasser
lachnospira species	Lachnospira-art
does not squat	Sidder ikke på hug
parity	ikke nærmere specificeret Paritet
compressed fracture, open	åben kompressionsfraktur
reflex hearing response	respons på auditiv refleks
history of inguinal hernia surgery	sygehistorie: operation for ingvinalhernie
dipstick test of nitrite concentration	måling af nitritkoncentration vha. urinstix
mercurial diuretic	Kviksølvdiuretikum
absence of signs and symptoms of laser injury	tegn og symptomer på  traumatisk laserlæsion ikke påvist
distomolar	distomolar
t1: Clinically inapparent prostate tumour not palpable or visible by imaging	ikke palperbar eller synlig ved imagografi T1: Klinisk ikke-synlig prostatatumor
fall from tree	fald fra træ
prevotella melaninogenica	Prevotella melaninogenica
urine ketones testing strips	strips til måling af ketoner i urin
deep full thickness burn of the wrist or hand without loss of body part	ikke nærmere specificeret dyb fuldhudsforbrænding på håndled eller hånd uden tab af underliggende strukturer
structure of common tendon sheath of peroneal muscle	struktur af fælles musculus fibularisseneskede
intracranial destruction of ganglion	intrakraniel destruktion af ganglie
dupuytren's disease of palm and finger(s)	Dupuytrens kontraktur i håndflade og finger/fingre
perinatal subependymal hemorrhage with intraventricular extension	Perinatal sybependymal blødning med intraventrikulær ekstension
nodular regeneration	nodulær regeneration
measurement of 24 hour urine free adrenaline output	måling af udskillelse af frit adrenalin i døgnurin
taurine aminotransferase	Taurinaminotransferase
copper solution reagent tablet	kobberopløsningsreagenstablet
potassium chloride 1.5g	kaliumchlorid 1,5 g
nitisinone 5 mg oral capsule	nitisinon 5 mg kapsel
meshed split autograft of skin to head or neck	indgreb på hoved eller hals med anvendelse af spaltet autolog graft af meshed hud
finding of workplace handwashing facilities	fund vedr. håndvaskningsfaciliteter på arbejdssted
on examination - left kidney palpable	objektivt:: venstre nyre palpabel
potassium perchlorate	kaliumperchlorat
grieving before death	Sørgen før dødsfald
salmonella Stockholm var 15+	Salmonella Stockholm var 15+
gastrointestinal tract radiological intervention	radiologisk intervention på mave-tarm-kanalen
sensory denervation	Sensorisk denervation
structure of transverse process of cervical vertebra	Struktur af processus transversus på halshvirvel
